timestamp,user,source_host,destination_host,event_type,status,protocol,port,bytes_out,command,asset_criticality,label
1500128,it.staff@CBSE,OFFICE-PC-038,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1500259,exam.admin@CBSE,OFFICE-PC-039,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1500295,exam.admin@CBSE,OFFICE-PC-039,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1500315,controller.rao@CBSE,OFFICE-PC-036,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500344,controller.rao@CBSE,OFFICE-PC-036,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500453,it.staff@CBSE,OFFICE-PC-038,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500560,it.staff@CBSE,OFFICE-PC-038,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500655,clerk.singh@CBSE,OFFICE-PC-037,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500715,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500771,controller.rao@CBSE,OFFICE-PC-036,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500868,it.staff@CBSE,OFFICE-PC-038,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500904,it.staff@CBSE,OFFICE-PC-038,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1500928,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1501027,clerk.singh@CBSE,OFFICE-PC-037,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1501115,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1501185,clerk.singh@CBSE,OFFICE-PC-037,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1501227,clerk.singh@CBSE,OFFICE-PC-037,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501302,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1501342,clerk.singh@CBSE,OFFICE-PC-037,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501472,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501593,exam.admin@CBSE,OFFICE-PC-039,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501649,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501720,it.staff@CBSE,OFFICE-PC-038,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1501758,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1501869,clerk.singh@CBSE,OFFICE-PC-037,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1501893,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502027,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1502117,it.staff@CBSE,OFFICE-PC-038,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502158,it.staff@CBSE,OFFICE-PC-038,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1502237,it.staff@CBSE,OFFICE-PC-038,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1502294,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1502396,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1502516,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502606,exam.admin@CBSE,OFFICE-PC-039,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502697,controller.rao@CBSE,OFFICE-PC-036,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1502739,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1502839,exam.admin@CBSE,OFFICE-PC-039,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502896,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1502940,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1503070,it.staff@CBSE,OFFICE-PC-038,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1503171,clerk.singh@CBSE,OFFICE-PC-037,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1503222,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1503244,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1503367,it.staff@CBSE,OFFICE-PC-038,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1503452,exam.admin@CBSE,OFFICE-PC-039,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1503601,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1503638,clerk.singh@CBSE,OFFICE-PC-037,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1503780,it.staff@CBSE,OFFICE-PC-038,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1503911,controller.rao@CBSE,OFFICE-PC-036,REGISTRATION-SRV-01,auth,success,Kerberos,445,0,,medium,0
1504007,controller.rao@CBSE,OFFICE-PC-036,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1504099,controller.rao@CBSE,OFFICE-PC-036,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
1504155,clerk.singh@CBSE,OFFICE-PC-037,FILESHARE-01,auth,success,Kerberos,445,0,,medium,0
